총 삭제대상: 226개
row_index,domeggook_no,naver_channel_no,reason
142,32292646,12875886622,패션의류->생활/건강
143,27555802,12875886814,패션의류->생활/건강
144,57852606,12875887034,패션의류->스포츠/레저
145,59640609,12875887272,패션의류->생활/건강
146,46549830,12875887684,패션의류->생활/건강
147,52907907,12875887958,패션의류->생활/건강
148,60459106,12875888258,패션의류->생활/건강
149,52670236,12875888484,패션의류->출산/육아
150,61058144,12875888792,패션의류->생활/건강
151,40927178,12875889103,패션의류->디지털/가전
152,52609259,12875889613,패션의류->생활/건강
153,50666129,12875889927,패션의류->생활/건강
154,18585569,12875890241,패션의류->디지털/가전
155,48208039,12875890838,패션의류->생활/건강
156,57035051,12875891057,패션의류->생활/건강
157,33669460,12875891413,패션의류->생활/건강
158,50209025,12875891615,패션의류->생활/건강
159,8852592,12875891844,패션의류->생활/건강
160,36716912,12875892084,패션의류->생활/건강
161,41630495,12875892266,패션의류->생활/건강
162,12089149,12875892580,패션의류->디지털/가전
163,48208233,12875893089,패션의류->생활/건강
164,31483200,12875893333,패션의류->생활/건강
165,49489985,12875893756,패션의류->가구/인테리어
166,50636704,12875894040,패션의류->가구/인테리어
167,22531151,12875894351,패션의류->가구/인테리어
168,44286716,12875894689,패션의류->가구/인테리어
169,22531142,12875894952,패션의류->가구/인테리어
170,23458809,12875895224,패션의류->가구/인테리어
171,61387894,12875895572,패션의류->생활/건강
172,22839839,12875895832,패션의류->가구/인테리어
173,47882278,12875896153,패션의류->생활/건강
174,8407914,12875896388,패션의류->생활/건강
175,57182363,12875900109,패션의류->디지털/가전
176,47448053,12875900530,패션의류->디지털/가전
177,9360064,12875900863,패션의류->디지털/가전
178,56701533,12875901184,패션의류->디지털/가전
179,41247344,12875901385,패션의류->디지털/가전
180,55766612,12875901616,패션의류->디지털/가전
181,51013343,12875901964,패션의류->디지털/가전
182,6696528,12875902290,패션의류->디지털/가전
183,57182170,12875902533,패션의류->디지털/가전
184,14157962,12875902873,패션의류->디지털/가전
185,60765638,12875903183,패션의류->스포츠/레저
186,17370738,12875903574,패션의류->스포츠/레저
187,61445218,12875903875,패션의류->디지털/가전
188,42878666,12875904056,패션의류->디지털/가전
189,57194094,12875904385,패션의류->디지털/가전
190,52581513,12875904836,패션의류->디지털/가전
191,39266588,12875905181,패션의류->디지털/가전
192,8211026,12875905451,패션의류->디지털/가전
193,43275223,12875905729,패션의류->디지털/가전
194,60216575,12875906172,패션의류->디지털/가전
195,25079217,12875906386,패션의류->디지털/가전
196,43752715,12875906943,패션의류->디지털/가전
197,38519358,12875907178,패션의류->디지털/가전
198,54897501,12875907554,패션의류->디지털/가전
199,43753085,12875907948,패션의류->디지털/가전
200,52902271,12875908127,패션의류->디지털/가전
201,49818759,12875908757,패션의류->디지털/가전
202,52902561,12875909137,패션의류->디지털/가전
203,29711109,12875912734,패션의류->화장품/미용
204,50109700,12875913065,패션의류->화장품/미용
205,47412641,12875913275,패션의류->화장품/미용
206,56465425,12875913711,패션의류->화장품/미용
207,59595489,12875913992,패션의류->화장품/미용
208,58470215,12875914558,패션의류->화장품/미용
209,55785026,12875914822,패션의류->화장품/미용
210,57076177,12875915070,패션의류->화장품/미용
211,58200899,12875915393,패션의류->화장품/미용
212,44890512,12875915810,패션의류->화장품/미용
215,35141009,12875916777,패션의류->화장품/미용
216,56710898,12875916996,패션의류->화장품/미용
217,56232486,12875917316,패션의류->화장품/미용
218,27869028,12875917585,패션의류->화장품/미용
219,40905298,12875917890,패션의류->디지털/가전
220,45825808,12875918197,패션의류->생활/건강
221,49966731,12875921899,패션의류->생활/건강
222,47446149,12875922234,패션의류->생활/건강
223,62489896,12875922501,패션의류->생활/건강
224,54564048,12875922958,패션의류->생활/건강
225,54563975,12875923218,패션의류->생활/건강
226,61641113,12875923485,패션의류->생활/건강
227,10208275,12875923761,패션의류->생활/건강
228,60656552,12875924157,패션의류->생활/건강
229,60933060,12875924473,패션의류->생활/건강
230,22213470,12875924834,패션의류->도서
231,60966428,12875925067,패션의류->도서
232,49116488,12875925474,패션의류->패션잡화
233,35854593,12875925743,패션의류->식품
234,35854569,12875926002,패션의류->식품
235,35854528,12875926256,패션의류->식품
236,35854437,12875926473,패션의류->식품
237,35854422,12875926689,패션의류->식품
238,35854412,12875926902,패션의류->식품
239,35854393,12875927096,패션의류->식품
240,35854384,12875927301,패션의류->식품
241,35854338,12875927532,패션의류->식품
242,61289869,12875927893,패션의류->생활/건강
243,55304691,12875928157,패션의류->생활/건강
244,46044824,12875928431,패션의류->생활/건강
245,60155283,12875928807,패션의류->출산/육아
246,43621727,12875929136,패션의류->생활/건강
247,46999656,12875929548,패션의류->생활/건강
248,51001620,12875929797,패션의류->생활/건강
249,9327157,12875930077,패션의류->도서
250,62612558,12875930341,패션의류->생활/건강
251,60521158,12875930615,패션의류->화장품/미용
252,34317583,12875930864,패션의류->생활/건강
253,50093593,12875931048,패션의류->생활/건강
254,50093592,12875931249,패션의류->생활/건강
255,50093591,12875931432,패션의류->생활/건강
256,61225097,12875931767,패션의류->도서
257,61225096,12875931970,패션의류->도서
258,61224707,12875932245,패션의류->도서
259,61224706,12875932443,패션의류->도서
260,61219596,12875932651,패션의류->도서
261,61219593,12875932866,패션의류->도서
262,12560241,12875936391,패션의류->생활/건강
263,10295197,12875936778,패션의류->생활/건강
264,41504926,12875937067,패션의류->생활/건강
265,45907400,12875937333,패션의류->생활/건강
266,21712610,12875937732,패션의류->생활/건강
267,34123747,12875938149,패션의류->생활/건강
268,44275945,12875938396,패션의류->생활/건강
269,39285759,12875938657,패션의류->생활/건강
270,19618129,12875939262,패션의류->생활/건강
271,20659778,12875939559,패션의류->생활/건강
272,48867916,12875939825,패션의류->디지털/가전
273,61076509,12875940165,패션의류->생활/건강
274,12910598,12875941329,패션의류->디지털/가전
275,12910755,12875941698,패션의류->디지털/가전
276,8471582,12875942878,패션의류->디지털/가전
277,8471578,12875944124,패션의류->디지털/가전
278,40554749,12875944359,패션의류->생활/건강
279,41574234,12875945184,패션의류->생활/건강
280,9067405,12875945512,패션의류->디지털/가전
281,40465590,12875945879,패션의류->가구/인테리어
282,9067387,12875946312,패션의류->디지털/가전
283,53581458,12875946588,패션의류->디지털/가전
284,62097896,12875946818,패션의류->생활/건강
